index,Timestamp,Rank,TrendPhrase
35,2014/04/25 05:19:12,5,Apple iPod Shuffle - 39%
35,2014/04/25 05:19:12,6,Netflix
35,2014/04/25 05:19:12,7,#teamnosleep
35,2014/04/25 05:19:12,8,#cantsleep
35,2014/04/25 05:19:12,9,IHOP
35,2014/04/25 05:19:12,10,#fallonpanda
36,2014/04/25 05:24:13,1,Nyquil
36,2014/04/25 05:24:13,2,Waffle House
36,2014/04/25 05:24:13,3,#insomnia
36,2014/04/25 05:24:13,4,#LameOfficeHolidays
36,2014/04/25 05:24:13,5,Apple iPod Shuffle - 39%
36,2014/04/25 05:24:13,6,Netflix
36,2014/04/25 05:24:13,7,#Stock
36,2014/04/25 05:24:13,8,#teamnosleep
36,2014/04/25 05:24:13,9,#cantsleep
36,2014/04/25 05:24:13,10,FaceTime
37,2014/04/25 05:29:13,1,NyQuil
37,2014/04/25 05:29:13,2,FaceTime
37,2014/04/25 05:29:13,3,#insomnia
37,2014/04/25 05:29:13,4,#LameOfficeHolidays
37,2014/04/25 05:29:13,5,Apple iPod Shuffle - 39%
37,2014/04/25 05:29:13,6,Netflix
37,2014/04/25 05:29:13,7,#Stock
37,2014/04/25 05:29:13,8,Cali
37,2014/04/25 05:29:13,9,#teamnosleep
37,2014/04/25 05:29:13,10,#cantsleep
1,2014/04/25 05:44:43,1,FaceTime
1,2014/04/25 05:44:43,2,Waffle House
1,2014/04/25 05:44:43,3,#insomnia
1,2014/04/25 05:44:43,4,#LameOfficeHolidays
1,2014/04/25 05:44:43,5,Apple iPod Shuffle - 39%
1,2014/04/25 05:44:43,6,Netflix
1,2014/04/25 05:44:43,7,#TGIF
1,2014/04/25 05:44:43,8,#WeAreReadyForTheWWAT
1,2014/04/25 05:44:43,9,Cali
1,2014/04/25 05:44:43,10,#cantsleep
2,2014/04/25 05:49:44,1,FaceTime
2,2014/04/25 05:49:44,2,Waffle House
2,2014/04/25 05:49:44,3,#LameOfficeHolidays
2,2014/04/25 05:49:44,4,Apple iPod Shuffle - 39%
2,2014/04/25 05:49:44,5,Netflix
2,2014/04/25 05:49:44,6,#TGIF
2,2014/04/25 05:49:44,7,#WeAreReadyForTheWWAT
2,2014/04/25 05:49:44,8,Cali
2,2014/04/25 05:49:44,9,#teamnosleep
2,2014/04/25 05:49:44,10,#cantsleep
3,2014/04/25 05:54:44,1,FaceTime
3,2014/04/25 05:54:44,2,Waffle House
3,2014/04/25 05:54:44,3,#insomnia
3,2014/04/25 05:54:44,4,#LameOfficeHolidays
3,2014/04/25 05:54:44,5,Apple iPod Shuffle - 39%
3,2014/04/25 05:54:44,6,Netflix
3,2014/04/25 05:54:44,7,#TGIF
3,2014/04/25 05:54:44,8,#WeAreReadyForTheWWAT
3,2014/04/25 05:54:44,9,Cali
3,2014/04/25 05:54:44,10,#cantsleep
4,2014/04/25 05:59:45,1,NyQuil
4,2014/04/25 05:59:45,2,Waffle House
4,2014/04/25 05:59:45,3,#insomnia
4,2014/04/25 05:59:45,4,#LameOfficeHolidays
4,2014/04/25 05:59:45,5,Apple iPod Shuffle - 39%
4,2014/04/25 05:59:45,6,Netflix
4,2014/04/25 05:59:45,7,#TGIF
4,2014/04/25 05:59:45,8,#WeAreReadyForTheWWAT
4,2014/04/25 05:59:45,9,Cali
4,2014/04/25 05:59:45,10,#cantsleep
5,2014/04/25 06:04:45,1,Waffle House
5,2014/04/25 06:04:45,2,#insomnia
5,2014/04/25 06:04:45,3,#LameOfficeHolidays
5,2014/04/25 06:04:45,4,Apple iPod Shuffle - 39%
5,2014/04/25 06:04:45,5,Netflix
5,2014/04/25 06:04:45,6,#TGIF
5,2014/04/25 06:04:45,7,Cliven Bundy
5,2014/04/25 06:04:45,8,Cali
5,2014/04/25 06:04:45,9,#teamnosleep
5,2014/04/25 06:04:45,10,#cantsleep
6,2014/04/25 06:09:46,1,Waffle House
6,2014/04/25 06:09:46,2,#LameOfficeHolidays
6,2014/04/25 06:09:46,3,Netflix
6,2014/04/25 06:09:46,4,#TGIF
6,2014/04/25 06:09:46,5,#Stock
6,2014/04/25 06:09:46,6,#WeAreReadyForTheWWAT
6,2014/04/25 06:09:46,7,Hawaii
6,2014/04/25 06:09:46,8,Cali
6,2014/04/25 06:09:46,9,#CantSleep
6,2014/04/25 06:09:46,10,Dear God
7,2014/04/25 06:33:14,1,Waffle House
7,2014/04/25 06:33:14,2,#happyfriday
7,2014/04/25 06:33:14,3,#LameOfficeHolidays
7,2014/04/25 06:33:14,4,Dear God
7,2014/04/25 06:33:14,5,Cliven Bundy
7,2014/04/25 06:33:14,6,#TGIF
7,2014/04/25 06:33:14,7,#WeAreReadyForTheWWAT
7,2014/04/25 06:33:14,8,Cali
7,2014/04/25 06:33:14,9,#teamnosleep
7,2014/04/25 06:33:14,10,The Other Woman
8,2014/04/25 06:40:22,1,Cali
8,2014/04/25 06:40:22,2,Waffle House
8,2014/04/25 06:40:22,3,#happyfriday
8,2014/04/25 06:40:22,4,#LameOfficeHolidays
8,2014/04/25 06:40:22,5,Cliven Bundy
8,2014/04/25 06:40:22,6,#TGIF
8,2014/04/25 06:40:22,7,Taco Bell
