Timestamp,Rank,TrendPhrase
2014/04/23 09:47:16,8,#HappyBirthdayShakespeare
2014/04/23 09:47:16,9,Amazon Prime
2014/04/23 09:47:16,10,#Shakespeare450th
2014/04/23 09:52:17,1,#Shakespeare450th
2014/04/23 09:52:17,2,James Dolan
2014/04/23 09:52:17,3,Lupita Nyong'o
2014/04/23 09:52:17,4,#AdministrativeProfessionalsDay
2014/04/23 09:52:17,5,#MostBeautiful
2014/04/23 09:52:17,6,#HappyBirthdayShakespeare
2014/04/23 09:52:17,7,Amazon Prime
2014/04/23 09:52:17,8,IHOP
2014/04/23 09:52:17,9,World Book Day
2014/04/23 09:52:17,10,#WrigleyField100
2014/04/23 09:57:17,1,#Shakespeare450th
2014/04/23 09:57:17,2,James Dolan
2014/04/23 09:57:17,3,Lupita Nyong'o
2014/04/23 09:57:17,4,#AdministrativeProfessionalsDay
2014/04/23 09:57:17,5,#MostBeautiful
2014/04/23 09:57:17,6,#HappyBirthdayShakespeare
2014/04/23 09:57:17,7,Amazon Prime
2014/04/23 09:57:17,8,IHOP
2014/04/23 09:57:17,9,World Book Day
2014/04/23 09:57:17,10,#WrigleyField100
2014/04/23 10:02:18,1,Alex Morgan
2014/04/23 10:02:18,2,My WCW
2014/04/23 10:02:18,3,James Dolan
2014/04/23 10:02:18,4,#manship2000
2014/04/23 10:02:18,5,#AdministrativeProfessionalsDay
2014/04/23 10:02:18,6,#MostBeautiful
2014/04/23 10:02:18,7,#HappyBirthdayShakespeare
2014/04/23 10:02:18,8,Amazon Prime
2014/04/23 10:02:18,9,Lupita
2014/04/23 10:02:18,10,#Shakespeare450th
2014/04/23 10:07:19,1,Alex Morgan
2014/04/23 10:07:19,2,My WCW
2014/04/23 10:07:19,3,James Dolan
2014/04/23 10:07:19,4,#manship2000
2014/04/23 10:07:19,5,#AdministrativeProfessionalsDay
2014/04/23 10:07:19,6,#MostBeautiful
2014/04/23 10:07:19,7,#HappyBirthdayShakespeare
2014/04/23 10:07:19,8,Amazon Prime
2014/04/23 10:07:19,9,Lupita
2014/04/23 10:07:19,10,#Shakespeare450th
2014/04/23 10:12:20,1,Lupita
2014/04/23 10:12:20,2,#myNYPD
2014/04/23 10:12:20,3,James Dolan
2014/04/23 10:12:20,4,#AdministrativeProfessionalsDay
2014/04/23 10:12:20,5,#MostBeautiful
2014/04/23 10:12:20,6,#HappyBirthdayShakespeare
2014/04/23 10:12:20,7,Amazon Prime
2014/04/23 10:12:20,8,Kim Possible
2014/04/23 10:12:20,9,World Book Day
2014/04/23 10:12:20,10,#Shakespeare450th
2014/04/23 10:17:21,1,Lol Shaq CLEARED
2014/04/23 10:17:21,2,My WCW
2014/04/23 10:17:21,3,James Dolan
2014/04/23 10:17:21,4,#AdministrativeProfessionalsDay
2014/04/23 10:17:21,5,#MostBeautiful
2014/04/23 10:17:21,6,#HappyBirthdayShakespeare
2014/04/23 10:17:21,7,Amazon Prime
2014/04/23 10:17:21,8,Golden Tiger
2014/04/23 10:17:21,9,#Shakespeare450th
2014/04/23 10:17:21,10,#WrigleyField100
2014/04/23 10:22:21,1,Lupita
2014/04/23 10:22:21,2,Lol Shaq CLEARED
2014/04/23 10:22:21,3,#CCSSforward
2014/04/23 10:22:21,4,#AdministrativeProfessionalsDay
2014/04/23 10:22:21,5,#MostBeautiful
2014/04/23 10:22:21,6,#HappyBirthdayShakespeare
2014/04/23 10:22:21,7,Golden Tiger
2014/04/23 10:22:21,8,Alex Morgan
2014/04/23 10:22:21,9,World Book Day
2014/04/23 10:22:21,10,#Shakespeare450th
2014/04/23 10:27:22,1,Alex Morgan
2014/04/23 10:27:22,2,#4DaysUntilProblem
2014/04/23 10:27:22,3,Lol Shaq CLEARED
2014/04/23 10:27:22,4,My WCW
2014/04/23 10:27:22,5,#AdministrativeProfessionalsDay
2014/04/23 10:27:22,6,#MostBeautiful
2014/04/23 10:27:22,7,#HappyBirthdayShakespeare
2014/04/23 10:27:22,8,Amazon Prime
2014/04/23 10:27:22,9,Lupita
2014/04/23 10:27:22,10,#Shakespeare450th
2014/04/23 10:32:23,1,Lupita
2014/04/23 10:32:23,2,#QNashville
2014/04/23 10:32:23,3,Lol Shaq CLEARED
2014/04/23 10:32:23,4,My WCW
2014/04/23 10:32:23,5,Happy Administrative Professionals Day
2014/04/23 10:32:23,6,Kelis
2014/04/23 10:32:23,7,#AdministrativeProfessionalsDay
2014/04/23 10:32:23,8,#MostBeautiful
2014/04/23 10:32:23,9,#Shakespeare450th
2014/04/23 10:32:23,10,#WrigleyField100
2014/04/23 10:37:23,1,Lupita
2014/04/23 10:37:23,2,Lol Shaq CLEARED
2014/04/23 10:37:23,3,My WCW
2014/04/23 10:37:23,4,Kelis
2014/04/23 10:37:23,5,#AdministrativeProfessionalsDay
2014/04/23 10:37:23,6,#MostBeautiful
2014/04/23 10:37:23,7,#HappyBirthdayShakespeare
2014/04/23 10:37:23,8,Amazon Prime
2014/04/23 10:37:23,9,#Shakespeare450th
2014/04/23 10:37:23,10,#WrigleyField100
2014/04/23 10:42:24,1,Merril Hoge
2014/04/23 10:42:24,2,#QNashville
2014/04/23 10:42:24,3,My WCW
2014/04/23 10:42:24,4,Karen Vi
2014/04/23 10:42:24,5,Happy Administrative Professionals Day
