30,2014/04/24 08:18:23,8,#GangstaBroadway
30,2014/04/24 08:18:23,9,Penn Relays
30,2014/04/24 08:18:23,10,Cliven Bundy
31,2014/04/24 08:23:24,1,#HappyThursday
31,2014/04/24 08:23:24,2,Michael Pineda
31,2014/04/24 08:23:24,3,#1DayUntilTheWWAT
31,2014/04/24 08:23:24,4,#ElPulsoBillboard
31,2014/04/24 08:23:24,5,LaMarcus Aldridge
31,2014/04/24 08:23:24,6,#5SOSonElvis
31,2014/04/24 08:23:24,7,PSAE
31,2014/04/24 08:23:24,8,#GangstaBroadway
31,2014/04/24 08:23:24,9,Penn Relays
31,2014/04/24 08:23:24,10,Cliven Bundy
32,2014/04/24 08:28:24,1,Michael Pineda
32,2014/04/24 08:28:24,2,#1DayUntilTheWWAT
32,2014/04/24 08:28:24,3,Dunkin
32,2014/04/24 08:28:24,4,#happythursday
32,2014/04/24 08:28:24,5,#5SOSonElvis
32,2014/04/24 08:28:24,6,Lamarcus Aldridge
32,2014/04/24 08:28:24,7,#3DaysUntilProblem
32,2014/04/24 08:28:24,8,#GangstaBroadway
32,2014/04/24 08:28:24,9,Penn Relays
32,2014/04/24 08:28:24,10,Cliven Bundy
33,2014/04/24 08:33:25,1,Michael Pineda
33,2014/04/24 08:33:25,2,#1DayUntilTheWWAT
33,2014/04/24 08:33:25,3,#happythursday
33,2014/04/24 08:33:25,4,#WhatILearnedToday
33,2014/04/24 08:33:25,5,#5SOSonElvis
33,2014/04/24 08:33:25,6,Colombia
33,2014/04/24 08:33:25,7,LaMarcus Aldridge
33,2014/04/24 08:33:25,8,#GangstaBroadway
33,2014/04/24 08:33:25,9,Penn Relays
33,2014/04/24 08:33:25,10,Cliven Bundy
34,2014/04/24 08:38:25,1,#throwbackthursday
34,2014/04/24 08:38:25,2,Michael Pineda
34,2014/04/24 08:38:25,3,#1DayUntilTheWWAT
34,2014/04/24 08:38:25,4,Dunkin
34,2014/04/24 08:38:25,5,#happythursday
34,2014/04/24 08:38:25,6,#5SOSonElvis
34,2014/04/24 08:38:25,7,LaMarcus Aldridge
34,2014/04/24 08:38:25,8,#GangstaBroadway
34,2014/04/24 08:38:25,9,Penn Relays
34,2014/04/24 08:38:25,10,Cliven Bundy
35,2014/04/24 08:43:26,1,Michael Pineda
35,2014/04/24 08:43:26,2,#1DayUntilTheWWAT
35,2014/04/24 08:43:26,3,Dunkin
35,2014/04/24 08:43:26,4,Cliven Bundy
35,2014/04/24 08:43:26,5,#WhatILearnedToday
35,2014/04/24 08:43:26,6,#5SOSonElvis
35,2014/04/24 08:43:26,7,LaMarcus Aldridge
35,2014/04/24 08:43:26,8,#GangstaBroadway
35,2014/04/24 08:43:26,9,Penn Relays
35,2014/04/24 08:43:26,10,#askmel
36,2014/04/24 08:48:27,1,Michael Pineda
36,2014/04/24 08:48:27,2,#1DayUntilTheWWAT
36,2014/04/24 08:48:27,3,Cliven Bundy
36,2014/04/24 08:48:27,4,#5SOSonElvis
36,2014/04/24 08:48:27,5,Lamarcus Aldridge
36,2014/04/24 08:48:27,6,#3DaysUntilProblem
36,2014/04/24 08:48:27,7,#GangstaBroadway
36,2014/04/24 08:48:27,8,Penn Relays
36,2014/04/24 08:48:27,9,James Harden
36,2014/04/24 08:48:27,10,#AskMel
37,2014/04/24 08:53:27,1,Dunkin
37,2014/04/24 08:53:27,2,#1DayUntilTheWWAT
37,2014/04/24 08:53:27,3,Pineda
37,2014/04/24 08:53:27,4,Cliven Bundy
37,2014/04/24 08:53:27,5,#5SOSonElvis
37,2014/04/24 08:53:27,6,LaMarcus Aldridge
